2270,12956740
1188,12956767
301,12956792
16243,12956808
15853,12956824
15611,12956840
15259,12956855
14915,12956869
14571,12956884
14332,12956899
13823,12956920
13246,12956939
12559,12956961
11969,12956980
11137,12957001
10326,12957023
9582,12957044
8906,12957065
8267,12957086
7974,12957097
7832,12957106
7562,12957116
7301,12957125
7175,12957135
6936,12957144
6699,12957154
6469,12957163
6352,12957171
6115,12957180
5995,12957188
5750,12957196
5624,12957204
5226,12957217
5087,12957225
4797,12957233
4646,12957241
4489,12957249
4154,12957257
3975,12957264
3596,12957274
3393,12957281
2974,12957289
2750,12957298
2306,12957306
2090,12957314
1663,12957322
1459,12957330
1076,12957341
730,12957349
570,12957358
273,12957366
137,12957375
16273,12957383
16037,12957391
15922,12957399
15705,12957407
15598,12957416
15380,12957425
15272,12957434
15053,12957442
14947,12957450
14717,12957461
14491,12957469
14377,12957478
14137,12957486
13883,12957495
13752,12957502
13621,12957510
13341,12957518
13048,12957528
12894,12957536
12567,12957544
12394,12957552
12217,12957560
11846,12957567
11655,12957575
11268,12957582
11076,12957591
10699,12957598
10514,12957606
10333,12957614
9980,12957622
9818,12957630
9493,12957638
9343,12957645
9035,12957653
8885,12957661
8734,12957669
8440,12957677
8295,12957685
8016,12957692
7877,12957700
7614,12957707
7486,12957716
7241,12957724
7118,12957731
6998,12957739
6768,12957747
6655,12957755
6428,12957762
6317,12957770
6102,12957778
5991,12957786
5878,12957793
5658,12957801
5549,12957809
5319,12957816
5204,12957824
5082,12957831
4829,12957841
4695,12957848
4417,12957856
4264,12957864
3937,12957872
3759,12957879
3392,12957887
3198,12957895
2795,12957903
2590,12957911
2385,12957918
1976,12957926
1778,12957934
1588,12957941
1228,12957949
1055,12957957
727,12957966
579,12957973
297,12957981
163,12957988
42,12957996
16188,12958003
16078,12958011
15864,12958019
15762,12958028
15569,12958036
15471,12958043
15282,12958051
15185,12958058
15088,12958066
14895,12958073
14798,12958081
14591,12958091
14491,12958098
14274,12958106
14166,12958113
14052,12958121
13813,12958129
13692,12958137
13433,12958144
13300,12958153
13013,12958161
12866,12958169
12549,12958176
12388,12958184
12226,12958191
11879,12958199
11708,12958206
11347,12958216
11173,12958223
10815,12958231
10649,12958239
10476,12958246
10139,12958254
9979,12958261
9669,12958269
9518,12958278
9226,12958286
9086,12958293
8948,12958301
8681,12958308
8547,12958316
8294,12958323
8169,12958331
7919,12958341
7799,12958348
7564,12958356
7446,12958363
7331,12958371
7106,12958379
6998,12958387
6780,12958394
6672,12958404
6463,12958411
6361,12958419
6257,12958426
6052,12958434
5948,12958441
5744,12958449
5642,12958456
5433,12958466
5328,12958473
5216,12958481
4991,12958489
4875,12958496
4626,12958503
4494,12958511
4358,12958518
4070,12958528
3759,12958536
3593,12958544
3421,12958552
3073,12958560
2527,12958576
2163,12958586
1809,12958597
1634,12958606
