857,1214832
16112,1214869
15494,1214900
14802,1214931
14307,1214951
13890,1214968
13430,1214985
12909,1215002
12329,1215018
11688,1215034
11019,1215050
10374,1215066
9772,1215086
9053,1215104
8234,1215133
7630,1215152
7208,1215171
6536,1215196
6152,1215216
5769,1215233
5244,1215250
4806,1215267
4314,1215283
3739,1215299
3299,1215315
2365,1215335
1658,1215354
1029,1215370
484,1215386
26,1215402
16012,1215418
15539,1215437
15207,1215454
14869,1215471
14524,1215490
14017,1215509
13583,1215527
12929,1215545
12369,1215564
11540,1215585
10897,1215604
10276,1215620
9707,1215637
9182,1215653
8698,1215669
8090,1215687
7660,1215704
7250,1215720
6854,1215737
6474,1215753
6104,1215769
5730,1215785
5354,1215801
4951,1215817
4494,1215837
3579,1215862
2705,1215885
1804,1215909
812,1215932
173,1215956
16153,1215972
15794,1215989
15464,1216005
15143,1216021
14824,1216038
14487,1216054
14122,1216070
13581,1216091
13120,1216108
12616,1216125
12049,1216141
11443,1216157
10826,1216174
10233,1216190
9695,1216206
9191,1216223
8724,1216238
8285,1216254
7865,1216270
7462,1216286
7077,1216302
6705,1216318
6345,1216337
5995,1216353
5644,1216369
5280,1216385
4889,1216401
4448,1216417
3937,1216433
3347,1216449
2920,1216465
2260,1216481
1419,1216500
875,1216516
400,1216532
16370,1216549
16006,1216565
15672,1216584
15357,1216601
15054,1216617
14742,1216633
14414,1216649
14055,1216665
13669,1216681
13240,1216697
12761,1216713
12234,1216729
11662,1216745
11073,1216761
10498,1216777
9960,1216793
9461,1216812
8849,1216831
8416,1216847
8005,1216864
7609,1216880
7237,1216895
6760,1216918
6191,1216945
5740,1216968
5278,1216991
4767,1217014
4173,1217037
3267,1217061
1818,1217100
290,1217151
15642,1217196
14958,1217237
14339,1217266
13750,1217294
13208,1217319
12760,1217335
12438,1217346
12093,1217358
11538,1217370
11159,1217381
10785,1217394
10247,1217408
9916,1217421
9595,1217434
9150,1217447
8867,1217460
8590,1217473
8199,1217487
7817,1217501
7571,1217515
7211,1217529
6980,1217541
6754,1217554
6428,1217567
6215,1217582
5900,1217594
5686,1217607
5359,1217620
5248,1217631
5016,1217641
4764,1217651
4491,1217662
4192,1217674
3859,1217684
3519,1217694
3138,1217704
2747,1217714
2357,1217724
2161,1217734
1786,1217744
1412,1217754
1071,1217764
753,1217774
464,1217784
327,1217793
16338,1217806
16114,1217816
15905,1217827
15807,1217837
15611,1217847
15423,1217857
15243,1217869
15059,1217879
14874,1217889
14681,1217898
14584,1217908
14387,1217918
14065,1217931
13954,1217940
13716,1217949
13593,1217957
13333,1217966
13054,1217975
12908,1217983
12604,1217992
12292,1218001
12123,1218010
11778,1218019
11599,1218028
11255,1218037
10897,1218045
10721,1218055
10380,1218064
10054,1218073
9892,1218082
9438,1218098
9020,1218114
8623,1218129
8370,1218139
8245,1218148
8003,1218157
7766,1218166
7650,1218175
7423,1218184
7201,1218193
7094,1218202
6877,1218210
6671,1218219
6569,1218228
6365,1218237
6263,1218245
6065,1218254
5964,1218262
5760,1218270
5659,1218278
5452,1218286
5343,1218295
5125,1218305
4896,1218313
4777,1218321
4522,1218330
4389,1218338
4104,1218347
3951,1218355
3456,1218367
3279,1218375
2919,1218383
2730,1218392
2353,1218399
2167,1218408
1807,1218416
1630,1218424
1293,1218433
1129,1218441
833,1218449
690,1218457
416,1218466
295,1218474
58,1218482
16226,1218492
16122,1218500
15925,1218508
15832,1218517
15649,1218526
15474,1218536
15300,1218546
15211,1218556
15037,1218566
14864,1218575
14677,1218585
14584,1218594
14394,1218603
14188,1218612
14083,1218621
13870,1218631
13644,1218640
13524,1218649
13278,1218659
13024,1218668
12759,1218681
12464,1218690
12158,1218699
11999,1218708
11664,1218717
11334,1218726
10998,1218737
10831,1218746
10513,1218755
10202,1218764
10053,1218773
9765,1218784
9487,1218794
9097,1218812
8850,1218822
8603,1218833
8366,1218842
8134,1218852
8017,1218862
7683,1218873
7575,1218882
7360,1218892
7156,1218901
6955,1218911
6857,1218920
6664,1218932
6475,1218940
6288,1218952
6107,1218964
5921,1218976
5731,1218987
5542,1218998
5239,1219010
5030,1219022
4806,1219032
4690,1219040
4442,1219049
4312,1219057
4039,1219065
3895,1219072
3591,1219080
3432,1219088
3099,1219098
2928,1219106
2576,1219117
2222,1219124
2048,1219132
1707,1219140
1544,1219148
1379,1219156
1077,1219163
934,1219171
666,1219180
544,1219187
303,1219195
195,1219202
88,1219210
16265,1219217
16171,1219224
16076,1219232
15891,1219241
15720,1219249
15635,1219256
15548,1219264
15381,1219271
15300,1219278
15218,1219286
15055,1219293
14888,1219304
14805,1219311
14722,1219319
14545,1219326
14456,1219334
14365,1219341
14176,1219348
14078,1219356
13883,1219366
13672,1219374
13561,1219381
13454,1219389
13216,1219396
13100,1219404
12981,1219411
12720,1219418
12446,1219429
12302,1219436
12153,1219444
11848,1219451
11691,1219458
11536,1219466
11217,1219473
11060,1219480
10756,1219491
10604,1219499
10307,1219506
10169,1219514
9894,1219521
9759,1219529
9629,1219536
9375,1219543
9134,1219554
9012,1219561
8892,1219569
8658,1219576
8547,1219583
8436,1219591
8219,1219598
8108,1219606
7899,1219616
7796,1219624
7594,1219631
7494,1219638
7395,1219646
7205,1219653
7108,1219661
6926,1219668
6837,1219679
6653,1219686
6562,1219694
6388,1219701
6301,1219708
6211,1219716
6040,1219723
5953,1219731
5774,1219741
5685,1219749
5504,1219756
5412,1219763
5319,1219771
5124,1219778
5025,1219785
4925,1219793
4716,1219804
4492,1219811
4375,1219819
4254,1219826
4000,1219833
3861,1219841
3580,1219848
3432,1219856
3122,1219867
2961,1219874
2632,1219881
2470,1219889
2309,1219896
1987,1219903
1828,1219911
1670,1219919
1381,1219929
1102,1219937
969,1219944
719,1219951
600,1219959
485,1219966
265,1219974
162,1219981
16345,1219992
16251,1219999
16071,1220006
15986,1220014
15900,1220021
15741,1220029
15660,1220036
15579,1220044
15427,1220054
15274,1220061
15200,1220069
15052,1220077
14975,1220085
14898,1220092
14743,1220099
14666,1220107
14508,1220116
14429,1220124
14345,1220131
14173,1220138
14083,1220146
13903,1220153
13807,1220160
13711,1220168
13504,1220179
13288,1220186
13178,1220194
13063,1220201
12824,1220208
12703,1220216
12580,1220223
12319,1220230
12052,1220241
11912,1220249
11777,1220256
11489,1220263
11350,1220270
11207,1220278
10920,1220285
10776,1220293
10502,1220304
10229,1220311
10097,1220319
9969,1220326
9711,1220337
9479,1220344
9360,1220352
9247,1220360
9029,1220367
8920,1220374
8814,1220381
8604,1220389
8502,1220396
8295,1220404
8197,1220413
8000,1220420
7904,1220429
7713,1220437
7622,1220444
7532,1220451
7351,1220458
7263,1220468
7086,1220478
6919,1220487
6749,1220496
6670,1220506
6504,1220514
6424,1220521
6262,1220529
6182,1220537
6020,1220547
5940,1220555
5779,1220563
5694,1220571
5533,1220581
5364,1220589
5279,1220597
5099,1220607
4916,1220617
4722,1220627
4622,1220635
4409,1220645
4299,1220653
4068,1220664
3815,1220675
3551,1220686
3272,1220697
2830,1220711
2531,1220722
2227,1220733
1789,1220752
1510,1220760
1246,1220769
1122,1220777
997,1220785
650,1220796
545,1220805
339,1220813
239,1220821
53,1220830
16351,1220838
16178,1220847
16096,1220855
15865,1220868
15789,1220877
15643,1220885
15573,1220893
15432,1220901
15362,1220910
15222,1220918
15085,1220930
14940,1220939
14870,1220947
14730,1220955
14657,1220963
14509,1220972
14434,1220980
14200,1220993
14036,1221003
13953,1221012
13781,1221020
13689,1221029
13508,1221037
13414,1221045
13218,1221054
13017,1221063
12915,1221073
12697,1221083
12467,1221091
12349,1221100
12097,1221107
11971,1221116
11710,1221124
11575,1221131
11445,1221139
11184,1221146
11055,1221153
10926,1221161
10668,1221168
10420,1221179
10300,1221186
10066,1221194
9952,1221201
9838,1221208
9621,1221216
9516,1221223
9409,1221230
9202,1221241
8999,1221249
8902,1221256
8802,1221264
8607,1221271
8515,1221279
8332,1221286
8242,1221294
8060,1221304
7976,1221311
7799,1221319
7717,1221327
7635,1221334
7469,1221342
7390,1221349
7232,1221357
7151,1221367
6996,1221374
6917,1221382
6839,1221389
6687,1221397
6610,1221404
6537,1221411
6390,1221419
6244,1221430
6170,1221437
6024,1221445
5953,1221452
5880,1221459
5734,1221467
5663,1221474
5588,1221482
5438,1221491
5283,1221499
5205,1221506
5127,1221514
4964,1221521
4876,1221528
4788,1221536
4611,1221543
4410,1221554
4310,1221561
4206,1221569
3993,1221576
3765,1221586
3647,1221593
3524,1221601
3270,1221609
3141,1221617
2875,1221627
2603,1221639
2339,1221650
2065,1221658
1932,1221666
1673,1221674
1547,1221682
1309,1221690
1190,1221698
968,1221706
861,1221716
659,1221725
471,1221733
380,1221743
204,1221752
38,1221760
16342,1221768
16188,1221777
16115,1221787
15978,1221796
15836,1221806
15705,1221815
15638,1221823
15509,1221831
15384,1221842
15258,1221853
15198,1221862
15071,1221871
14944,1221880
14881,1221888
14819,1221895
14691,1221903
14627,1221911
14493,1221918
14354,1221929
14285,1221937
14215,1221944
14068,1221952
13994,1221960
13839,1221969
13757,1221976
13595,1221984
13512,1221992
13428,1222000
13246,1222007
13064,1222018
12971,1222026
12778,1222035
12576,1222046
12366,1222057
12143,1222069
11919,1222079
11685,1222089
11453,1222098
11332,1222107
11104,1222118
10871,1222128
10643,1222137
10530,1222146
10318,1222154
10208,1222162
10001,1222170
9898,1222179
9697,1222187
9603,1222194
9412,1222201
9322,1222209
9231,1222216
9048,1222226
8960,1222233
8786,1222241
8701,1222249
8530,1222256
8364,1222268
8284,1222276
8126,1222284
8046,1222292
7893,1222304
7741,1222311
7667,1222319
7520,1222327
7446,1222335
7373,1222342
7232,1222351
7160,1222358
7022,1222366
6953,1222374
6816,1222384
6678,1222392
6612,1222401
6480,1222410
6347,1222419
6283,1222430
6153,1222439
6021,1222446
5957,1222454
5893,1222462
5762,1222471
5630,1222481
5495,1222493
5360,1222501
5293,1222509
5148,1222520
5001,1222529
4855,1222542
4619,1222558
4448,1222566
4362,1222574
4091,1222593
3792,1222607
3469,1222625
3128,1222637
3009,1222647
2646,1222660
2519,1222670
2164,1222683
1931,1222693
1813,1222700
1698,1222707
1480,1222715
1374,1222723
1169,1222731
970,1222741
875,1222748
786,1222755
609,1222763
528,1222770
445,1222779
283,1222786
134,1222800
16373,1222808
16234,1222818
16171,1222826
16044,1222836
15982,1222844
15866,1222853
15746,1222862
15689,1222870
15575,1222880
15518,1222888
15408,1222895
15293,1222905
15236,1222913
15131,1222921
15076,1222930
14964,1222938
14908,1222945
14799,1222953
14743,1222961
14685,1222969
14570,1222977
14514,1222984
14389,1222992
14328,1223000
14205,1223008
14140,1223016
14078,1223023
13945,1223030
13883,1223038
13816,1223045
13672,1223055
13528,1223062
13455,1223070
13380,1223078
13221,1223086
13141,1223093
12973,1223100
12891,1223108
12718,1223116
12629,1223124
12543,1223131
12354,1223139
12257,1223148
12068,1223156
11966,1223164
11757,1223172
11653,1223180
11455,1223187
11351,1223195
11254,1223203
11046,1223211
10943,1223218
10747,1223226
10646,1223234
10457,1223242
10365,1223250
10269,1223258
10084,1223266
9996,1223273
9816,1223281
9729,1223288
9647,1223295
9479,1223304
9394,1223312
9233,1223320
9158,1223327
9001,1223335
8923,1223342
8850,1223350
8704,1223357
8632,1223367
8485,1223374
8417,1223382
8271,1223389
8203,1223397
8135,1223405
7998,1223413
7932,1223420
7797,1223429
7731,1223437
7600,1223445
7537,1223453
7409,1223461
7346,1223469
7224,1223476
7162,1223484
7100,1223492
6980,1223499
6922,1223507
6861,1223514
6743,1223521
6686,1223529
6571,1223537
6514,1223545
6402,1223554
6344,1223562
6230,1223570
6175,1223578
6061,1223585
6007,1223593
5948,1223600
5835,1223607
5778,1223617
5661,1223624
5605,1223631
5488,1223640
5430,1223649
5308,1223657
5248,1223665
5124,1223675
5063,1223682
4931,1223690
4864,1223698
4725,1223706
4654,1223714
4510,1223722
4437,1223729
4355,1223737
4196,1223745
4112,1223753
3941,1223760
3850,1223768
3762,1223776
3582,1223783
3482,1223790
3286,1223800
3183,1223807
2975,1223815
2869,1223823
2659,1223831
2434,1223842
2225,1223852
1916,1223870
1608,1223887
1322,1223904
1048,1223920
705,1223940
627,1223950
480,1223959
327,1223967
255,1223975
190,1223982
57,1223992
16313,1224000
16253,1224007
16194,1224015
16073,1224023
15961,1224033
15851,1224043
15743,1224055
15690,1224062
15584,1224070
15538,1224078
15432,1224087
15382,1224097
15281,1224106
15182,1224118
15082,1224128
14985,1224135
14934,1224143
14883,1224151
14778,1224159
14725,1224166
14619,1224175
14568,1224182
14452,1224190
14396,1224200
14288,1224208
14230,1224215
14111,1224223
14049,1224231
13928,1224242
13797,1224251
13731,1224259
13599,1224269
13461,1224278
13389,1224286
13247,1224295
13088,1224305
13013,1224314
12854,1224322
12774,1224331
12609,1224342
12432,1224352
12256,1224362
12066,1224372
11970,1224380
11774,1224388
11677,1224396
11482,1224406
11286,1224415
11092,1224425
10996,1224433
10802,1224441
10615,1224451
10523,1224459
10340,1224468
10248,1224476
10070,1224487
9898,1224498
9732,1224510
9485,1224523
9331,1224536
9097,1224550
8876,1224566
8729,1224582
8520,1224597
8308,1224612
8170,1224621
8103,1224630
7965,1224638
7840,1224649
7706,1224660
7643,1224669
7518,1224680
7394,1224690
7274,1224699
7150,1224709
7029,1224718
6969,1224728
6853,1224737
6736,1224746
6679,1224756
6564,1224766
6449,1224775
6334,1224784
6279,1224793
6110,1224806
6054,1224814
5939,1224823
5884,1224832
5772,1224842
5657,1224850
5598,1224857
5485,1224866
5425,1224873
5365,1224880
5242,1224887
5181,1224894
5121,1224901
5057,1224908
4929,1224915
4862,1224922
4794,1224929
4724,1224936
4584,1224943
4508,1224950
4431,1224957
4281,1224964
4198,1224971
4113,1224978
4032,1224985
3855,1224993
3764,1225000
3579,1225007
3482,1225014
3385,1225021
3280,1225028
3080,1225035
2978,1225042
2870,1225050
2659,1225057
2552,1225064
2441,1225071
2235,1225079
2122,1225086
